4-14th Street Union Square,6-14th Street Union Square,120000
4-14th Street Union Square,L-Union Square,120000
4-14th Street Union Square,N-14th Street Union Square,120000
4-14th Street Union Square,Q-14th Street Union Square,120000
4-14th Street Union Square,R-14th Street Union Square,120000
4-14th Street Union Square,W-14th Street Union Square,120000
4-161st Street Yankee Stadium,4-149th Street Grand Concourse,1928.474423
4-167th Street,4-161st Street Yankee Stadium,1928.474423
4-170th Street,4-167th Street,1928.474423
4-176th Street,4-Mount Eden Avenue,1928.474423
4-183rd Street,4-Burnside Avenue,1928.474423
4-23rd Street,4-14th Street Union Square,1928.474423
4-28th Street,4-23rd Street,1928.474423
4-33rd Street,4-28th Street,1928.474423
4-51st Street,4-Grand Central 42nd Street,1928.474423
4-51st Street,6-51st Street,120000
4-51st Street,E-Lexington Avenue 53rd Street,120000
4-51st Street,M-Lexington Avenue 53rd Street,120000
4-59th Street,4-51st Street,1928.474423
4-59th Street,5-59th Street,120000
4-59th Street,6-59th Street,120000
4-59th Street,A-59th Street Columbus Circle,120000
4-59th Street,B-59th Street Columbus Circle,120000
4-59th Street,C-59th Street Columbus Circle,120000
4-59th Street,D-59th Street Columbus Circle,120000
4-68th Street Hunter College,4-59th Street,1928.474423
4-77th Street,4-68th Street Hunter College,1928.474423
4-86th Street,4-77th Street,1928.474423
4-96th Street,4-86th Street,1928.474423
4-Astor Place,4-Bleecker Street,1928.474423
4-Atlantic Avenue Barclays Center,2-Atlantic Avenue Barclays Center,120000
4-Atlantic Avenue Barclays Center,3-Atlantic Avenue Barclays Center,120000
4-Atlantic Avenue Barclays Center,4-Bergen Street,1928.474423
4-Atlantic Avenue Barclays Center,5-Atlantic Avenue Barclays Center,120000
4-Atlantic Avenue Barclays Center,D-Atlantic Avenue Barclays Center,120000
4-Atlantic Avenue Barclays Center,L-Broadway Junction,120000
4-Atlantic Avenue Barclays Center,N-Atlantic Avenue Barclays Center,120000
4-Atlantic Avenue Barclays Center,R-Atlantic Avenue Barclays Center,120000
4-Bedford Park Boulevard Lehman College,4-Kingsbridge Road,1928.474423
4-Bergen Street,4-Grand Army Plaza,1928.474423
4-Bleecker Street,4-Spring Street,1928.474423
4-Bleecker Street,6-Bleecker Street,120000
4-Bleecker Street,B-Broadway Lafayette Street,120000
4-Bleecker Street,D-Broadway Lafayette Street,120000
4-Bleecker Street,F-Broadway Lafayette Street,120000
4-Bleecker Street,M-Broadway Lafayette Street,120000
4-Borough Hall,2-Borough Hall,120000
4-Borough Hall,3-Borough Hall,120000
4-Borough Hall,4-Nevins Street,1928.474423
4-Borough Hall,5-Borough Hall,120000
4-Borough Hall,N-Court Street,120000
4-Borough Hall,R-Court Street,120000
4-Bowling Green,4-Borough Hall,1928.474423
4-Brooklyn Bridge City Hall,4-Fulton Street,1928.474423
4-Brooklyn Bridge City Hall,5-Brooklyn Bridge City Hall,120000
4-Brooklyn Bridge City Hall,6-Brooklyn Bridge City Hall,120000
4-Brooklyn Bridge City Hall,Z-Chambers Street,120000
4-Burnside Avenue,4-176th Street,1928.474423
4-Canal Street,4-Brooklyn Bridge City Hall,1928.474423
4-Canal Street,6-Canal Street,120000
4-Canal Street,N- (lower level – express),120000
4-Canal Street,N- (upper level – local),120000
4-Canal Street,Q- (lower level – express),120000
4-Canal Street,R- (upper level – local),120000
4-Canal Street,W- (upper level – local),120000
4-Canal Street,Z-Canal Street,120000
4-Eastern Parkway Brooklyn Museum,4-Franklin Avenue,1928.474423
4-Fordham Road,4-183rd Street,1928.474423
4-Franklin Avenue,2-Franklin Avenue,120000
4-Franklin Avenue,3-Franklin Avenue,120000
4-Franklin Avenue,4-Nostrand Avenue,1928.474423
4-Franklin Avenue,5-Franklin Avenue,120000
4-Fulton Street,2-Fulton Street,120000
4-Fulton Street,3-Fulton Street,120000
4-Fulton Street,4-Wall Street,1928.474423
4-Fulton Street,5-Fulton Street,120000
4-Fulton Street,A-Fulton Street,120000
4-Fulton Street,C-Fulton Street,120000
4-Fulton Street,Z-Fulton Street,120000
4-Grand Army Plaza,4-Eastern Parkway Brooklyn Museum,1928.474423
4-Grand Central 42nd Street,4-33rd Street,1928.474423
4-Grand Central 42nd Street,5-Grand Central 42nd Street,120000
4-Grand Central 42nd Street,6-Grand Central 42nd Street,120000
4-Grand Central 42nd Street,7-Grand Central,120000
4-Kingsbridge Road,4-Fordham Road,1928.474423
4-Kingston Avenue,4-Crown Heights Utica Avenue,1928.474423
4-Mosholu Parkway,4-Bedford Park Boulevard Lehman College,1928.474423
4-Mount Eden Avenue,4-170th Street,1928.474423
4-Nevins Street,4-Atlantic Avenue Barclays Center,1928.474423
4-Nostrand Avenue,4-Kingston Avenue,1928.474423
4-Spring Street,4-Canal Street,1928.474423
4-Wall Street,4-Bowling Green,1928.474423
4-Woodlawn,4-Mosholu Parkway,1928.474423
5-125th Street,5-86th Street,1625.514403
5-138th Street Grand Concourse,5-125th Street,1625.514403
5-149th Street Grand Concourse,2-149th Street Grand Concourse,120000
5-149th Street Grand Concourse,5-138th Street Grand Concourse,1625.514403
5-149th Street Grand Concourse,B-161st Street Yankee Stadium,120000
5-149th Street Grand Concourse,D-161st Street Yankee Stadium,120000
5-14th Street Union Square,4-14th Street Union Square,120000
5-14th Street Union Square,5-Brooklyn Bridge City Hall,1625.514403
5-14th Street Union Square,6-14th Street Union Square,120000
5-14th Street Union Square,L-Union Square,120000
5-14th Street Union Square,N-14th Street Union Square,120000
5-14th Street Union Square,Q-14th Street Union Square,120000
5-14th Street Union Square,R-14th Street Union Square,120000
5-14th Street Union Square,W-14th Street Union Square,120000
5-174th Street,5-Freeman Street,1625.514403
5-219th Street,5-Gun Hill Road White Plains Road,1625.514403
5-225th Street,5-219th Street,1625.514403
5-233rd Street,5-225th Street,1625.514403
5-59th Street,4-59th Street,120000
5-59th Street,5-Grand Central 42nd Street,1625.514403
5-59th Street,6-59th Street,120000
5-59th Street,A-59th Street Columbus Circle,120000
5-59th Street,B-59th Street Columbus Circle,120000
5-59th Street,C-59th Street Columbus Circle,120000
5-59th Street,D-59th Street Columbus Circle,120000
5-86th Street,5-59th Street,1625.514403
5-Allerton Avenue,5-Pelham Parkway White Plains Road,1625.514403
5-Atlantic Avenue Barclays Center,2-Atlantic Avenue Barclays Center,120000
5-Atlantic Avenue Barclays Center,3-Atlantic Avenue Barclays Center,120000
5-Atlantic Avenue Barclays Center,4-Atlantic Avenue Barclays Center,120000
5-Atlantic Avenue Barclays Center,5-Franklin Avenue,1625.514403
5-Atlantic Avenue Barclays Center,D-Atlantic Avenue Barclays Center,120000
5-Atlantic Avenue Barclays Center,L-Broadway Junction,120000
